matrix,Adaptive-rt
ex1.mtx,51.2158
gams30a.mtx,50.6377
lowThrust_4.mtx,106.702
bcsstm05.mtx,36.9384
t2dal_bci_Abottom.mtx,31.465
hydr1c_A_44.mtx,54.5243
cavity23.mtx,204.536
pgp2.mtx,56.7876
LeGresley_4908.mtx,59.3862
t2d_q4_A_26.mtx,104.725
poli.mtx,57.3323
delf_A_13.mtx,75.7379
hydr1c_A_75.mtx,71.4053
t2d_q4_A_34.mtx,113.827
cq5.mtx,121.538
lp_bore3d.mtx,39.1886
hydr1c_A_06.mtx,69.2489
c-29.mtx,96.9905
2D_27628_bjtcai.mtx,887.991
lpi_bgetam.mtx,42.4215
Franz4.mtx,64.2395
delf_A_17.mtx,60.142
n2c6-b9.mtx,41.1708
spaceStation_2.mtx,47.186
model7.mtx,99.3808
oscil_dcop_30.mtx,45.811
oscil_dcop_06.mtx,41.6299
c-46.mtx,112.987
ns3Da.mtx,1631.59
t2d_q4_A_05.mtx,94.6322
delf_A_18.mtx,54.3497
wang4.mtx,132.852
ABACUS_shell_ud.mtx,196.456
linverse.mtx,59.8274
n3c6-b1.mtx,29.5199
t2d_q4_A_44.mtx,91.2826
Reuters911_Day_56.mtx,66.8262
oscil_dcop_51.mtx,32.3086
oscil_dcop_13.mtx,32.1388
t2d_q4_A_27.mtx,88.5403
t2d_q9_A_12.mtx,88.1547
delf_A_20.mtx,58.2351
bips07_1998_C.mtx,37.8127
sctap1-2r_A_01.mtx,38.0493
nug08-3rd.mtx,128.407
oscil_dcop_23.mtx,42.0384
rajat27.mtx,383.024
lp_cre_d.mtx,335.401
abtaha1.mtx,57.8035
ABACUS_shell_ld_K.mtx,203.954
epb1.mtx,94.9608
hydr1c_A_63.mtx,55.2945
soc-sign-bitcoin-alpha_Time.mtx,100.163
oscil_dcop_53.mtx,31.0895
nemeth15.mtx,241.882
delf_A_06.mtx,54.3344
large_A_31.mtx,60.9732
Reuters911_Day_32.mtx,58.5884
oscil_dcop_43.mtx,31.8393
hydr1c_A_72.mtx,64.5068
hydr1c_A_46.mtx,63.1473
delf_A_22.mtx,53.7815
bodyy6.mtx,86.2703
hydr1c_A_13.mtx,57.2947
t2d_q4.mtx,92.1399
cavity24.mtx,176.88
crystm03.mtx,205.679
IG5-8.mtx,50.0403
t2d_q9_A_17.mtx,93.5243
case9_b1_03.mtx,50.2407
ri2010.mtx,131.173
odepa400.mtx,30.8419
delf_A_02.mtx,59.4129
sit100.mtx,55.2113
Reuters911_Day_34.mtx,57.5155
case9_b2_03.mtx,41.8188
Reuters911_Day_44.mtx,58.7684
GD97_c.mtx,40.894
g7jac100.mtx,884.178
sctap1-2c_A_3.mtx,62.4328
hydr1c_A_02.mtx,59.8734
TSOPF_RS_b162_c1.mtx,186.353
Reuters911_Day_64.mtx,59.367
t2d_q4_A_21.mtx,93.9888
hydr1c_A_20.mtx,57.761
delf_A_07.mtx,53.291
bcsstm06.mtx,30.8388
odepb400.mtx,30.8732
model2.mtx,61.8128
kineticBatchReactor_7.mtx,204.748
large_A_16.mtx,68.1025
case9_A_01.mtx,89.1036
t2d_q9_A_34.mtx,95.5029
TF12.mtx,39.4808
ex37.mtx,124.925
olm5000.mtx,47.4933
jazz.mtx,49.2434
freeFlyingRobot_9.mtx,146.652
hydr1c_A_41.mtx,62.4011
cavity22.mtx,170.455
kineticBatchReactor_3.mtx,130.673
mhda416.mtx,43.7751
mhdb416.mtx,32.3578
hangGlider_5.mtx,857.713
nos5.mtx,35.3097
xingo3012.mtx,101.494
lnsp_131.mtx,32.2277
lhr07.mtx,198.699
rail_20209.mtx,94.4395
freeFlyingRobot_11.mtx,152.153
rajat05.mtx,41.5378
lp_israel.mtx,46.9342
TSOPF_RS_b300_c2_b.mtx,61.3857
