matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr,adaptive-rt
random_mtx_43,68876,500,500,0,r,1,0,137.752,103,166,68876,0,100,3513,65363,5.1,0,68876,0,21.335424,28.121664,25.404192,23.005505,22.950464,21.524609,22.887903,0.758683,0.839839,0.927405,0.929629,0.991211,0.93217,0,0.0000000414715,0.0000000414715,4.79516E-10,0,0,0,22.104704,0.965198,0.0000109381,475.731
random_mtx_44,20240,500,500,0,r,1,0,40.48,23,60,20240,0,100,1024,19216,5.059,0,20240,0,13.313728,15.47472,16.536352,15.367104,13.547008,13.443584,13.57536,0.860353,0.805119,0.866379,0.98278,0.990341,0.980727,0,0.0000000428875,0.0000000428875,5.56876E-10,0,0,0,9.368096,1.421178,0.00000916996,558.218
random_mtx_45,26103,500,500,0,r,1,0,52.206,34,73,26103,0,100,1317,24786,5.045,0,26103,0,14.346688,16.971008,17.272032,16.264799,14.446816,14.3872,14.549376,0.845365,0.830631,0.88207,0.993069,0.997184,0.986069,0,0.0000000392378,0.0000000392378,4.82074E-10,0,0,0,8.872128,1.617052,0.0000100571,824.561
random_mtx_46,75072,500,500,0,r,1,0,150.144,121,191,75072,0,100,3643,71429,4.853,0,75072,0,21.412544,28.425632,24.51712,22.691263,23.335487,21.815777,23.322945,0.753283,0.873371,0.943647,0.917596,0.981516,0.918089,0,0.0000000477411,0.0000000477411,5.58736E-10,0,0,0,23.338593,0.917474,0.0000116167,788.37
random_mtx_47,89946,500,500,0,r,1,0,179.892,150,209,89946,0,100,4514,85432,5.019,0,89946,0,29.544672,31.794559,33.401215,29.548256,29.126881,30.600288,29.526144,0.929237,0.884539,0.999879,1.014344,0.965503,1.000628,0,0.0000000505991,0.0000000505991,5.62983E-10,0,0,0,26.795744,1.102588,0.0000119783,549.943
random_mtx_48,49120,500,500,0,r,1,0,98.24,72,123,49120,0,100,2514,46606,5.118,0,49120,0,17.2712,19.62384,20.039776,19.014912,17.908096,17.256544,17.877089,0.880113,0.861846,0.908298,0.964435,1.000849,0.966108,0,0.0000000409049,0.0000000409049,4.77532E-10,0,0,0,11.291488,1.529577,0.0000102777,692.81
random_mtx_49,92603,500,500,0,r,1,0,185.206,155,213,92603,0,100,4729,87874,5.107,0,92603,0,30.62336,25.802656,26.095232,31.187967,30.895967,31.443296,31.117472,1.18683,1.173523,0.981897,0.991177,0.973923,0.984121,0,0.0000000383765,0.0000000383765,4.53022E-10,0,0,0,17.343264,1.765721,0.0000112453,307.305
random_mtx_5,20599,500,500,0,r,1,0,41.198,24,70,20599,0,100,1042,19557,5.058,0,20599,0,13.432992,15.442208,15.88944,15.418656,13.508032,13.427456,13.616512,0.869888,0.845404,0.871217,0.994445,1.000412,0.986522,0,0.0000000451326,0.0000000451326,5.35107E-10,0,0,0,8.404064,1.598392,0.00000856863,791.02
random_mtx_50,83071,500,500,0,r,1,0,166.142,131,202,83071,0,100,4152,78919,4.998,0,83071,0,22.1064,23.949951,29.265663,24.129601,22.574816,23.639135,22.518881,0.923025,0.75537,0.916153,0.97925,0.935161,0.981683,0,0.0000000522626,0.0000000522626,5.86555E-10,0,0,0,15.78224,1.400714,0.000012127,798.124
random_mtx_51,74779,500,500,0,r,1,0,149.558,118,185,74779,0,100,3662,71117,4.897,0,74779,0,21.54464,24.260223,29.394432,24.920353,21.953695,21.937792,22.017153,0.888064,0.73295,0.86454,0.981367,0.982079,0.978539,0,0.0000000434433,0.0000000434433,5.11725E-10,0,0,0,15.35376,1.403216,0.0000117509,823.695
